"OTU","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter","z","variable","Phylum","Class","Order","Family","Genus","Species","Taxon","Taxon.Level","Trophic.Mode","Guild","Confidence.Ranking","Growth.Morphology","Trait","Notes","Citation.Source"
"OTU2987",8.45,8.14,5,2,17.24,0.004,10.8,8.09,8.11,8.14,8.185,8.22,0.996,0.974,11.023635852927,2,"z+","pH","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU2938",5.22,5.295,7,1,26.75,0.004,11.13,5.14,5.2,5.27,6.565,6.701,0.994,0.984,12.0653253836265,1,"z-","pH","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU425",7.915,7.915,32,2,35.88,0.004,11.2,7.679,7.76,7.835,7.985,8.02,1,1,11.3254453072849,2,"z+","pH","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA,"Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU447",8.355,7.85,47,2,43.04,0.004,11.46,7.739,7.85,7.9575,8.17,8.17525,1,1,12.5108852625236,2,"z+","pH","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU608",8.265,8.085,38,2,42.3,0.004,11.51,8.07,8.08,8.11,8.23,8.265,1,1,11.8659829782917,2,"z+","pH","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA,"Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU2107",8.41,8.22,6,2,22.63,0.004,11.96,8.11,8.11,8.185,8.38,8.41,0.994,0.982,13.3480841775602,2,"z+","pH","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU708",8.41,8.355,15,2,54.55,0.004,12.23,8.24,8.255,8.29,8.41,8.42,0.996,0.978,11.7440740090343,2,"z+","pH","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU222",5.07,5.245,26,1,82.11,0.004,21.34,5.165,5.2,5.435,6.8,6.8355,1,1,20.2293472045034,1,"z-","pH","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora mellea","Acaulospora","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU299",5.07,5.245,22,1,82.22,0.004,24.79,5.16975,5.2,5.415,5.943,6.03725,1,1,22.3157827471657,1,"z-","pH","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora mellea","Acaulospora","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU447",71.942896285,13.880210885,47,2,24.59,0.02,3.46,9.39703614815,9.55786736,13.880210885,61.07857351,70.48062016,0.996,0.998,4.63780671960515,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU708",69.154881085,66.325706595,15,2,21.81,0.008,3.83,24.17576136,30.26078938,47.85714286,68.68653913,69.154881085,0.99,0.958,5.52727885305587,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU425",53.91843845,14.800151395,32,2,22.22,0.004,4.57,13.880210885,14.24748979,16.05927898,53.91843845,58.109528975,0.998,1,5.38247771311541,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA,"Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU422",31.998360215,31.998360215,14,2,12.32,0.004,4.67,15.62011174575,15.9583222075,31.894344105,38.0614139490001,42.421174865,1,0.972,4.9700596871824,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA,"Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU294",12.014251815,11.86762326,40,2,25.16,0.008,4.73,11.24249681625,11.542970995,12.014251815,14.5092216,17.4781824107493,0.958,1,4.87922928990125,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","Glomus cubense","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1485",69.154881085,39.818379695,7,2,7.63,0.004,4.81,29.53101016,30.23538961,42.07777604,65.77489784,67.82914201,0.998,0.966,5.66245851586464,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1359",34.792159095,33.507539445,7,2,7.95,0.004,4.85,31.59369163,32.883082985,34.792159095,42.07777604,43.88169918,1,0.958,5.41292718622604,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus claroideum","Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"OTU1055",45.515118065,44.341145165,17,2,14.24,0.004,4.86,26.04588394,26.634818125,45.195092465,48.442291545,49.01204307425,0.986,0.952,5.54509666578454,2,"z+","P","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora",NA,"Diversispora","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1153",66.325706595,45.80390062,9,2,10.72,0.008,5,23.586316905,24.17576136,46.127921035,66.325706595,66.501410745,1,0.974,6.20384731760737,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU714",33.73063894,31.59369163,8,2,8.79,0.004,5.09,31.4156303075,31.59369163,37.8035144525,48.6804806665,50.029831125,0.998,0.978,5.85697665878064,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus claroideum","Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"OTU1307",66.325706595,30.00375475,9,2,9.18,0.004,5.39,28.775350194,29.5299372385,39.65548038,66.325706595,70.5537339662499,1,0.988,5.9586578333259,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU751",24.269695385,23.586316905,17,2,14,0.004,5.43,21.0982386665,21.74367662,24.09024745,25.068065695,28.350372615,0.996,1,5.38992304794421,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU644",17.215292945,17.417643755,25,1,20.31,0.004,6.03,11.796301775,11.884855705,17.74256993,21.923408642,23.07692308,0.998,0.998,7.05836082959095,1,"z-","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1237",32.883082985,31.41915627,10,2,10.87,0.004,6.25,30.6358867415,31.023736145,32.9032760675,48.32831325,59.549873895,1,0.994,6.4239994243592,2,"z+","P","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora",NA,"Diversispora","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1487",42.36203118,41.78891559,9,2,11.26,0.004,6.27,31.894344105,32.92346915,42.07317073,47.0367563755,50.5934852275,1,0.988,6.60561952953606,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA,"Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU991",47.75718778,47.75718778,23,2,21.85,0.004,6.84,43.25759944825,44.70914368,47.188845405,50.86506348,51.46825562,0.99,0.988,7.08680353065242,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1786",46.196527535,33.73063894,12,2,13.79,0.004,7.03,30.69139225225,31.41915627,33.73063894,46.196527535,47.6572327,1,0.996,7.75710702651153,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1356",11.64967322,12.014251815,5,1,10.64,0.004,7.57,8.0291106967,10.739532165,11.86762326,12.3942277785,13.01406759025,0.99,0.97,7.73383052964519,1,"z-","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1528",13.31675386,12.137424715,37,1,31.03,0.004,8.02,11.88399408275,12.014251815,13.31675386,13.8904040695,14.2536112475,0.988,1,8.78783560597856,1,"z-","P","Glomeromycota","Glomeromycetes","Gigasporales","Gigasporaceae","Cetraspora",NA,"Cetraspora","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"OTU1455",11.64967322,12.014251815,6,1,12.77,0.004,8.28,7.9788228525,8.2939201107,11.86762326,12.1389271,13.10848401,1,0.986,8.79975126741815,1,"z-","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1078",51.030157265,43.41712786,22,2,22.73,0.004,8.41,42.710035315,42.9351179,46.196527535,51.27569999,52.78021685825,0.998,0.998,9.59765050558313,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU793",46.196527535,45.515118065,8,2,14.04,0.004,8.44,45.13484041,45.45486601,45.87250712,50.40277778,50.81968337175,1,0.996,9.0449805138432,2,"z+","P","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus luteum","Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"OTU2938",2.6896076755,5.1491844485,7,1,37.45,0.004,15.73,2.5303482225,2.6896076755,5.809627814,9.23533889725,12.758841125,1,0.994,13.6925410500777,1,"z-","P","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU222",5.1491844485,5.582009933,26,1,99.76,0.004,25.81,2.6896076755,3.18418944,5.582009933,6.987928026,7.770741796,1,1,22.9559457291723,1,"z-","P","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora mellea","Acaulospora","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU299",5.1491844485,5.582009933,22,1,99.87,0.004,26.5,2.924164870375,3.441295547,5.782548476,7.20694291825001,8.044095707,1,1,25.5616908410191,1,"z-","P","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora mellea","Acaulospora","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU419",1.64851223756658,1.64851223756658,13,2,11.88,0.004,3.39,1.4336355647558,1.4336355647558,1.54107390116119,2.04885401033582,3.51083747084185,0.972,0.954,4.03710506568523,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1092",1.4336355647558,1.33779899474487,11,2,10.48,0.004,4.24,1.24196242473395,1.24196242473395,1.33779899474487,1.4336355647558,2.76768875656803,1,0.988,4.56872926660467,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU2212",0,1.4336355647558,14,1,11.39,0.004,4.4,0,0,0,1.64851223756658,1.64851223756658,1,0.966,5.3720011381041,1,"z-","CD","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora",NA,"Diversispora","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU2938",0,0,7,1,7.89,0.004,4.94,0,0,0,1.24196242473395,1.24196242473395,1,0.962,6.04263291472476,1,"z-","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU555",2.75467483400722,2.34037192278581,80,1,40.18,0.004,5.21,1.81834708899034,2.28353932749327,2.28353932749327,2.34037192278581,2.34037192278581,0.954,1,5.76119360802949,1,"z-","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA,"Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU2569",2.75467483400722,1.4336355647558,11,2,10.58,0.004,5.3,1.24196242473395,1.24196242473395,1.4336355647558,2.66551784331371,2.66551784331371,1,0.988,5.59212466434433,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis mosseae","Funneliformis","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU817",0,0,11,1,12.32,0.004,5.52,0,0,0,0.620981212366975,1.24196242473395,1,0.992,5.90262464298502,1,"z-","CD","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus",NA,"Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"OTU447",2.16619666891455,2.16619666891455,47,1,29.68,0.004,5.62,2.04885401033582,2.04885401033582,2.16619666891455,2.28353932749327,2.28353932749327,0.978,1,5.73679185427383,1,"z-","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1528",1.4336355647558,1.24196242473395,37,2,22.48,0.004,5.83,1.24196242473395,1.24196242473395,1.33779899474487,2.16619666891455,2.28353932749327,0.982,0.988,5.81459860305476,2,"z+","CD","Glomeromycota","Glomeromycetes","Gigasporales","Gigasporaceae","Cetraspora",NA,"Cetraspora","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"OTU1549",2.75467483400722,2.43483707459389,6,2,10.68,0.004,6.01,1.64851223756658,1.64851223756658,2.43483707459389,2.75467483400722,2.75467483400722,0.996,0.952,7.1271013669654,2,"z+","CD","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversispora","Diversispora eburnea","Diversispora","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1464",2.76768875656803,2.04885401033582,6,2,8.45,0.004,6.07,2.04885401033582,2.04885401033582,2.28353932749327,2.76118179528762,2.76768875656803,0.998,0.95,6.07107524274066,2,"z+","CD","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora scrobiculata","Acaulospora","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1405",2.75467483400722,1.24196242473395,15,2,13.39,0.004,6.14,0,1.17986430349726,2.04885401033582,2.75467483400722,3.51083747084185,1,1,7.41714360440815,2,"z+","CD","Glomeromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus",NA,"Paraglomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU789",2.28353932749327,2.28353932749327,9,2,13.24,0.004,6.72,2.04885401033582,2.04885401033582,2.16619666891455,2.28353932749327,2.28353932749327,1,0.998,6.85838392499179,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU299",0,0,22,1,21.83,0.004,7.45,0,0,0,1.24196242473395,1.24196242473395,1,0.998,7.51418632140693,1,"z-","CD","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora mellea","Acaulospora","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU644",1.4336355647558,1.24196242473395,25,2,23.58,0.004,7.57,1.24196242473395,1.24196242473395,1.33779899474487,1.4336355647558,1.4336355647558,1,1,8.19924213043159,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1297",2.28353932749327,2.28353932749327,8,2,11.76,0.004,7.6,2.04885401033582,2.04885401033582,2.16619666891455,2.28353932749327,2.28353932749327,0.996,0.99,7.12664124762236,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA,"Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU477",2.16619666891455,2.04885401033582,23,2,24.01,0.004,7.7,2.04885401033582,2.04885401033582,2.04885401033582,2.28353932749327,2.28353932749327,1,1,8.2255516863937,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1359",3.51083747084185,2.28353932749327,7,2,11.67,0.004,7.87,2.28353932749327,2.28353932749327,2.28353932749327,2.34037192278581,2.76768875656803,1,0.984,7.80665459386119,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus claroideum","Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"OTU948",1.24196242473395,0.620981212366975,29,2,23.49,0.004,8.01,0,0,0.620981212366975,1.24196242473395,1.24196242473395,0.998,1,7.82113460566744,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU857",1.64851223756658,1.64851223756658,23,2,20.8,0.004,8.09,0,0.620981212366975,1.64851223756658,1.64851223756658,1.8486831239512,1,1,7.74816042302634,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus intraradices","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU642",2.75467483400722,2.75467483400722,9,2,22.35,0.004,8.21,2.56442901551794,2.61497342941582,2.75467483400722,2.75467483400722,2.76118179528762,0.974,0.982,8.82112945284542,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus etunicatum","Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"OTU222",0,0,26,1,25.27,0.004,8.5,0,0,0,1.24196242473395,1.24196242473395,1,1,7.95835901434901,1,"z-","CD","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora mellea","Acaulospora","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1485",2.75467483400722,2.75467483400722,7,2,20.16,0.004,8.51,2.56442901551794,2.66551784331371,2.71009633866047,2.75467483400722,2.75467483400722,0.962,0.954,9.06182841864105,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU605",2.16619666891455,2.16619666891455,22,2,24.05,0.004,9.66,1.24196242473395,1.24196242473395,2.04885401033582,2.28353932749327,2.28353932749327,1,1,9.65948554958154,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU2905",2.71009633866047,2.66551784331371,8,2,22.5,0.004,10.14,2.66551784331371,2.66551784331371,2.71009633866047,2.75467483400722,2.75467483400722,0.988,0.99,10.7110376486194,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus irregularis","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU574",1.4336355647558,1.4336355647558,39,1,33.94,0.004,10.15,1.4336355647558,1.4336355647558,1.64851223756658,1.64851223756658,1.64851223756658,1,1,9.78814482088379,1,"z-","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA,"Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU934",2.75467483400722,2.75467483400722,5,2,16.83,0.004,10.88,2.04885401033582,2.28353932749327,2.66551784331371,2.75467483400722,2.75467483400722,0.992,0.956,8.52933669960246,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU1051",2.71009633866047,2.66551784331371,6,2,18.17,0.004,11.73,2.66551784331371,2.66551784331371,2.71009633866047,2.75467483400722,2.75467483400722,0.986,0.976,10.1794424209125,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus irregularis","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU2176",2.71009633866047,2.66551784331371,8,2,21.81,0.004,11.78,2.66551784331371,2.66551784331371,2.71009633866047,2.75467483400722,2.75467483400722,0.978,0.976,10.5202113397948,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus irregularis","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU294",3.13926311370494,1.64851223756658,40,2,37.45,0.004,11.84,1.4336355647558,1.4336355647558,1.54107390116119,1.64851223756658,1.64851223756658,1,1,11.6353724801921,2,"z+","CD","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","Glomus cubense","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
