"OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","Taxon","Taxon.Level","Trophic.Mode","Guild","Confidence.Ranking","Growth.Morphology","Trait","Notes","Citation.Source"
"OTU3228","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA,"Agaricales","7","Pathotroph-Saprotroph-Symbiotroph","Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph","Possible","Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast","NULL","Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)","Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford"
"OTU3254","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae",NA,NA,"Hypocreales","7","Saprotroph","Undefined Saprotroph","Possible","Microfungus","NULL","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
"OTU3285","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella epigama","Mortierellaceae","9","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Possible","Microfungus","NULL","Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Purahong W, et al. 2016. Molecular Ecology 25:4059-4074"
"OTU3296","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Syncephalastraceae","Syncephalastrum",NA,"Syncephalastrum","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"OTU3297","Fungi","Blastocladiomycota","Blastocladiomycetes","Blastocladiales","Catenariaceae",NA,NA,"Catenariaceae","9","Pathotroph-Saprotroph","Insect Parasite-Undefined Saprotroph","Probable","Microfungus","NULL","Saprobic in water-logged soil or in water, or parasitic on various soil-inhabiting invertebrates (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
"OTU3302","Fungi","Ascomycota","Sordariomycetes","Sordariales","Helminthosphaeriaceae","Spadicoides",NA,"Spadicoides","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)"
"OTU3456","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA,"Tremellales","7","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","Possible","Tremelloid-Yeast","NULL","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
"OTU3604","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA,"Tremellales","7","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","Possible","Tremelloid-Yeast","NULL","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
"OTU3013","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3038","Fungi","Rozellomycota",NA,NA,NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3061","Fungi","Chytridiomycota",NA,NA,NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3092","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3142","Fungi","Basidiomycota","Agaricomycetes","Polyporales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3178","Fungi","Basidiomycota","Microbotryomycetes",NA,NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3187","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3212","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3226","Fungi","Basidiomycota","Agaricomycetes","Russulales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3260","Fungi","Basidiomycota","Agaricomycetes","Cantharellales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3283","Protista",NA,NA,NA,NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3286","Fungi","Basidiomycota","Microbotryomycetes",NA,NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3450","Fungi",NA,NA,NA,NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3505","Rhodoplantae","Rhodophyta","Bangiophyceae","Bangiales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3538","Fungi","Basidiomycota","Agaricomycetes","Thelephorales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3607","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
