"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU1607","Fungi","Ascomycota","Sordariomycetes","Sordariales","Cordana","Cordana inaequalis",NA
"OTU1608","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","Magnaporthiopsis","Magnaporthiopsis maydis"
"OTU1609","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus albertensis"
"OTU1610","Fungi","Glomeromycota","Paraglomeromycetes",NA,NA,NA,NA
"OTU1611","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys","Arthrobotrys amerospora"
"OTU1612","Fungi",NA,NA,NA,NA,NA,NA
"OTU1613","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces flavus"
"OTU1614","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Brachyphoris","Brachyphoris oviparasitica"
"OTU1615","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Ophidiomyces","Ophidiomyces ophiicola"
"OTU1616","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA
"OTU1617","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU1618","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU1619","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU1620","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae",NA,NA
"OTU1621","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Acremonium","Acremonium chrysogenum",NA
"OTU1622","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU1623","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"OTU1624","Fungi","Basidiobolomycota","Basidiobolomycetes","Basidiobolales",NA,NA,NA
"OTU1625","Fungi",NA,NA,NA,NA,NA,NA
"OTU1626","Fungi","Basidiomycota","Agaricomycetes","Tremellodendropsidales",NA,NA,NA
"OTU1628","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales",NA,NA,NA
"OTU1629","Fungi","Blastocladiomycota","Blastocladiomycetes","Blastocladiales","Catenariaceae","Catenaria",NA
"OTU1630","Fungi","Kickxellomycota","Kickxellomycetes","Kickxellales",NA,NA,NA
"OTU1631","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU1632","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU1633","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae",NA,NA
"OTU1634","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU1636","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU1637","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU1638","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU1639","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus taichungensis"
"OTU1640","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota","Lepiota lilacea"
"OTU1641","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Petriella","Petriella sordida"
"OTU1642","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella chlamydospora"
"OTU1643","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae",NA,NA
"OTU1644","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU1645","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU1646","Viridiplantae","Anthophyta","Eudicotyledonae","Solanales","Solanaceae","Solanum",NA
"OTU1647","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU1649","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Sparassis",NA
"OTU1650","Fungi",NA,NA,NA,NA,NA,NA
"OTU1651","Fungi","Blastocladiomycota","Blastocladiomycetes","Blastocladiales","Blastocladiaceae","Allomyces","Allomyces anomalus"
"OTU1652","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU1653","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales",NA,NA,NA
"OTU1654","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU1655","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU1656","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU1657","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Candida","Candida quercitrusa",NA
"OTU1658","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU1659","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU1660","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU1662","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU1663","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"OTU1664","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum",NA
"OTU1665","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU1666","Stramenopila","Oomycota","Oomycetes","Peronosporales",NA,NA,NA
"OTU1667","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU1668","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta",NA
"OTU1669","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thelonectria",NA
"OTU1670","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU1671","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus","Pluteus longistriatus"
"OTU1672","Fungi","Chytridiomycota","Polychytriomycetes","Polychytriales",NA,NA,NA
"OTU1673","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU1674","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium riverlandense"
"OTU1675","Fungi","Blastocladiomycota","Blastocladiomycetes","Blastocladiales","Blastocladiaceae","Allomyces","Allomyces macrogynus"
"OTU1676","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU1677","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU1678","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU1679","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU1680","Fungi","Basidiomycota","Agaricomycetes","Thelephorales",NA,NA,NA
"OTU1681","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Ctenomyces","Ctenomyces serratus"
"OTU1682","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"OTU1683","Fungi","Ascomycota","Sordariomycetes","Coniochaetales",NA,NA,NA
"OTU1684","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys","Arthrobotrys elegans"
"OTU1685","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA
"OTU1686","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU1687","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU1688","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Absidia",NA
"OTU1689","Amoebozoa","Discosea",NA,NA,NA,NA,NA
"OTU1690","Fungi","Blastocladiomycota","Blastocladiomycetes","Blastocladiales","Blastocladiaceae","Allomyces","Allomyces javanicus"
"OTU1691","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces flavus"
"OTU1692","Fungi",NA,NA,NA,NA,NA,NA
"OTU1693","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Venturia","Venturia hystrioides"
"OTU1694","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU1696","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU1697","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","Psathyrella superiorensis"
"OTU1698","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU1699","Fungi","Mucoromycota","Endogonomycetes","Endogonales",NA,NA,NA
"OTU1700","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis","Gibellulopsis nigrescens"
"OTU1701","Fungi",NA,NA,NA,NA,NA,NA
"OTU1702","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU1703","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis mosseae"
"OTU1704","Fungi","Ascomycota","Dothideomycetes","Eremomycetaceae","Arthrographis","Arthrographis arxii",NA
"OTU1705","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma",NA
"OTU1707","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA
"OTU1708","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales",NA,NA,NA
"OTU1710","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU1711","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU1712","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"OTU1713","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum","Cephalotrichum stemonitis"
"OTU1714","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Schwanniomyces",NA
"OTU1715","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Syncephalastraceae","Syncephalastrum","Syncephalastrum racemosum"
"OTU1716","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU1717","Viridiplantae","Anthophyta","Eudicotyledonae","Caryophyllales","Amaranthaceae","Amaranthus",NA
"OTU1718","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU1719","Fungi","Kickxellomycota","Kickxellomycetes","Kickxellales",NA,NA,NA
"OTU1720","Protista",NA,NA,NA,NA,NA,NA
"OTU1721","Fungi","Glomeromycota","Paraglomeromycetes",NA,NA,NA,NA
"OTU1722","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Hyphodontia",NA
"OTU1724","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU1725","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"OTU1727","Fungi","Mucoromycota","Mucoromycetes","Mucorales",NA,NA,NA
"OTU1728","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU1729","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU1730","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"OTU1731","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU1732","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU1733","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU1734","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","Psathyrella superiorensis"
"OTU1735","",NA,NA,NA,NA,NA,NA
"OTU1736","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU1737","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU1738","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Neurospora",NA
"OTU1739","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium iranianum"
"OTU1740","Fungi","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Idriella",NA
"OTU1741","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales",NA,NA,NA
"OTU1742","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU1743","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU1744","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaeta",NA
"OTU1745","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU1746","Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA
"OTU1747","Fungi","Neocallimastigomycota","Neocallimastigomycetes","Neocallimastigales",NA,NA,NA
"OTU1748","Fungi",NA,NA,NA,NA,NA,NA
"OTU1749","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus",NA
"OTU1750","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU1751","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU1752","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU1753","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor circinelloides"
"OTU1754","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Angulomycetaceae","Angulomyces","Angulomyces argentinensis"
"OTU1755","Fungi",NA,NA,NA,NA,NA,NA
"OTU1756","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Nectria","Nectria diminuta"
"OTU1757","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU1759","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU1760","Stramenopila","Ochrophyta","Chrysophyceae","Chromulinales",NA,NA,NA
"OTU1761","Fungi","Ascomycota","Eurotiomycetes","Eurotiales",NA,NA,NA
"OTU1763","Fungi","Basidiomycota","Agaricomycetes","Russulales",NA,NA,NA
"OTU1764","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma",NA
"OTU1765","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae",NA,NA
"OTU1767","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum",NA
"OTU1768","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU1769","Fungi","Mucoromycota","Endogonomycetes","Endogonales",NA,NA,NA
"OTU1770","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales",NA,NA,NA
"OTU1771","Protista",NA,NA,NA,NA,NA,NA
"OTU1772","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU1773","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU1774","Viridiplantae","Anthophyta","Eudicotyledonae","Brassicales","Brassicaceae","Capsella","Capsella rubella"
"OTU1775","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU1776","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU1777","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales",NA,NA,NA
"OTU1778","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU1779","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU1780","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales",NA,NA,NA
"OTU1781","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU1782","Fungi","Basidiomycota","Agaricomycetes","Trechisporales",NA,NA,NA
"OTU1783","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon asahii"
"OTU1784","Fungi","Chytridiomycota","Lobulomycetes","Lobulomycetales","Lobulomycetaceae","Lobulomyces",NA
"OTU1785","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Volvariella",NA
"OTU1786","Fungi","Chytridiomycota","Lobulomycetes","Lobulomycetales",NA,NA,NA
"OTU1787","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU1788","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU1789","Fungi","Aphelidiomycota","Aphelidiomycetes",NA,NA,NA,NA
"OTU1790","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU1791","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU1792","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"OTU1793","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus crustosus"
"OTU1794","Fungi",NA,NA,NA,NA,NA,NA
"OTU1795","Fungi","Blastocladiomycota","Blastocladiomycetes","Blastocladiales",NA,NA,NA
"OTU1796","Fungi","Aphelidiomycota","Aphelidiomycetes",NA,NA,NA,NA
"OTU1797","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae",NA,NA
"OTU1798","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
