"OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU485","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis","Gibellulopsis nigrescens"
"OTU486","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"OTU487","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU488","Fungi","Olpidiomycota","Olpidiomycetes","Olpidiales",NA,NA,NA
"OTU489","Viridiplantae","Anthophyta","Eudicotyledonae","Caryophyllales",NA,NA,NA
"OTU490","Fungi","Calcarisporiellomycota","Calcarisporiellomycetes","Calcarisporiellales","Calcarisporiellaceae","Calcarisporiella","Calcarisporiella thermophila"
"OTU491","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU492","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilago","Ustilago trichophora"
"OTU493","Fungi","Ascomycota","Pezizomycetes","Pezizales",NA,NA,NA
"OTU494","Fungi","Rozellomycota",NA,NA,NA,NA,NA
"OTU495","Fungi","Ascomycota","Orbiliomycetes","Orbiliales",NA,NA,NA
"OTU496","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU497","Viridiplantae","Anthophyta","Eudicotyledonae","Fabales","Fabaceae","Vigna","Vigna unguiculata"
"OTU498","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU499","Fungi",NA,NA,NA,NA,NA,NA
"OTU500","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU501","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU502","Fungi","Ascomycota","Sordariomycetes","Microascales","Halosphaeriaceae",NA,NA
"OTU503","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Spiromastix","Spiromastix asexualis",NA
"OTU504","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus chlamydosporus"
"OTU505","Fungi","Aphelidiomycota","Aphelidiomycetes",NA,NA,NA,NA
"OTU506","Fungi","Basidiomycota",NA,NA,NA,NA,NA
